UK Large Cap,0.05,-0.20,-0.06,0.03,0.24,0.39,0.60,0.70,0.66,-0.07,0.23,-0.25,-0.16,-0.34,-0.20,0.02,0.36,0.47,0.44,0.91,0.83,0.77,0.69,0.82,0.79,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Large Cap hedged,-0.05,-0.10,0.08,0.09,0.32,0.38,0.59,0.59,0.52,0.01,0.32,-0.11,-0.33,-0.19,-0.40,0.15,0.47,0.41,0.48,0.86,0.76,0.63,0.74,0.84,0.81,0.83,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Equity,-0.12,-0.12,0.07,0.17,0.31,0.41,0.49,0.53,0.48,0.09,0.24,-0.05,0.11,-0.15,0.07,0.14,0.31,0.49,0.36,0.67,0.64,0.70,0.53,0.61,0.60,0.66,0.50,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Equity hedged,0.01,-0.17,-0.10,-0.03,0.17,0.28,0.51,0.53,0.49,-0.10,0.20,-0.27,-0.46,-0.35,-0.52,-0.04,0.33,0.29,0.38,0.73,0.68,0.61,0.68,0.72,0.68,0.66,0.62,0.77,1.00,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Domestic Equity,-0.07,0.00,0.03,0.07,0.16,0.18,0.22,0.26,0.24,0.05,0.01,-0.05,-0.02,-0.11,-0.05,0.05,0.15,0.22,0.24,0.27,0.27,0.29,0.22,0.24,0.23,0.28,0.16,0.26,0.27,1.00,,,,,,,,,,,,,,,,,,,,,,,,,
Emerging Markets Equity,-0.07,-0.06,0.12,0.15,0.40,0.49,0.68,0.70,0.64,0.05,0.31,-0.09,-0.18,-0.18,-0.26,0.19,0.53,0.63,0.60,0.77,0.75,0.64,0.68,0.73,0.74,0.73,0.68,0.57,0.59,0.47,1.00,,,,,,,,,,,,,,,,,,,,,,,,
AC Asia ex-Japan Equity,-0.11,-0.07,0.14,0.17,0.40,0.49,0.63,0.66,0.59,0.07,0.29,-0.05,-0.12,-0.15,-0.19,0.20,0.48,0.59,0.57,0.73,0.70,0.63,0.63,0.69,0.69,0.69,0.62,0.57,0.57,0.54,0.96,1.00,,,,,,,,,,,,,,,,,,,,,,,
AC World Equity,-0.06,-0.15,0.09,0.18,0.37,0.52,0.67,0.73,0.66,0.08,0.34,-0.08,-0.05,-0.19,-0.13,0.18,0.48,0.55,0.51,0.92,0.88,0.96,0.86,0.86,0.83,0.86,0.75,0.76,0.71,0.34,0.80,0.78,1.00,,,,,,,,,,,,,,,,,,,,,,
AC World ex-EMU Equity,-0.06,-0.15,0.08,0.18,0.36,0.51,0.66,0.71,0.66,0.08,0.33,-0.08,-0.02,-0.19,-0.09,0.17,0.46,0.56,0.49,0.89,0.85,0.96,0.84,0.82,0.80,0.85,0.72,0.77,0.70,0.35,0.79,0.77,1.00,1.00,,,,,,,,,,,,,,,,,,,,,
Developed World Equity,-0.06,-0.16,0.08,0.18,0.35,0.50,0.65,0.71,0.64,0.08,0.33,-0.08,-0.04,-0.18,-0.11,0.17,0.46,0.52,0.48,0.91,0.87,0.97,0.86,0.85,0.82,0.86,0.74,0.76,0.71,0.31,0.75,0.72,1.00,0.99,1.00,,,,,,,,,,,,,,,,,,,,
Global Convertible Bonds hedged,-0.24,-0.03,0.30,0.30,0.61,0.65,0.80,0.76,0.67,0.19,0.42,0.06,-0.26,-0.03,-0.39,0.36,0.69,0.38,0.71,0.78,0.83,0.67,0.85,0.78,0.81,0.63,0.67,0.55,0.65,0.34,0.74,0.71,0.79,0.77,0.77,1.00,,,,,,,,,,,,,,,,,,,
Global Credit Sensitive Convertible hedged,-0.17,-0.10,0.24,0.36,0.42,0.54,0.45,0.51,0.42,0.27,0.27,0.18,-0.01,0.10,-0.13,0.33,0.42,0.22,0.44,0.49,0.52,0.42,0.52,0.48,0.50,0.39,0.36,0.34,0.33,0.14,0.38,0.35,0.48,0.46,0.47,0.59,1.00,,,,,,,,,,,,,,,,,,
Private Equity,0.11,-0.17,-0.21,-0.12,0.18,0.31,0.58,0.58,0.64,-0.23,0.16,-0.39,-0.19,-0.46,-0.21,-0.12,0.38,0.45,0.46,0.72,0.71,0.75,0.64,0.66,0.65,0.74,0.59,0.54,0.57,0.44,0.72,0.69,0.79,0.79,0.78,0.63,0.32,1.00,,,,,,,,,,,,,,,,,
Venture Capital,0.03,-0.22,-0.25,-0.16,0.01,0.13,0.36,0.33,0.44,-0.22,0.03,-0.34,-0.11,-0.38,-0.11,-0.18,0.22,0.31,0.27,0.50,0.51,0.64,0.48,0.46,0.43,0.55,0.38,0.51,0.50,0.46,0.53,0.55,0.62,0.64,0.62,0.51,0.20,0.77,1.00,,,,,,,,,,,,,,,,
U.S. Core Real Estate,0.31,-0.38,-0.19,-0.20,-0.03,0.07,0.34,0.35,0.44,-0.25,0.00,-0.28,0.00,-0.26,0.05,-0.19,0.10,0.29,0.22,0.38,0.36,0.48,0.31,0.29,0.28,0.45,0.20,0.40,0.33,0.11,0.33,0.32,0.45,0.46,0.45,0.16,0.16,0.46,0.32,1.00,,,,,,,,,,,,,,,
European Core Real Estate,0.16,-0.31,-0.31,-0.28,-0.02,0.05,0.34,0.33,0.45,-0.33,-0.04,-0.43,-0.13,-0.42,-0.11,-0.28,0.18,0.23,0.24,0.47,0.46,0.54,0.38,0.38,0.38,0.55,0.34,0.46,0.45,0.36,0.44,0.42,0.54,0.55,0.54,0.37,0.19,0.64,0.58,0.49,1.00,,,,,,,,,,,,,,
European Value-Added Real Estate,0.18,-0.30,-0.36,-0.35,-0.05,0.02,0.35,0.33,0.46,-0.40,-0.09,-0.50,-0.19,-0.49,-0.17,-0.34,0.15,0.20,0.23,0.48,0.47,0.54,0.39,0.39,0.39,0.57,0.35,0.47,0.49,0.37,0.46,0.43,0.55,0.56,0.55,0.38,0.18,0.67,0.60,0.49,0.98,1.00,,,,,,,,,,,,,
